Matematika,Bahasa_Inggris,IPA,IPS,Minat,Hobi,Kemampuan_Komputer,Kemampuan_Komunikasi,Kemampuan_Kepemimpinan,Kemampuan_Analisis,Kemampuan_Kreativitas,Kemampuan_Problem_Solving,Mata_Pelajaran_Favorit,Gaya_Belajar,Tujuan_Karier,Aktivitas_Organisasi,Prestasi_Akademik,Prestasi_NonAkademik,Jurusan
75,71,77,82,Sosial,Membaca,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Sosiologi,Auditori,Dosen,OSIS,Kecamatan - Biologi,Tidak Ada,Psikologi
69,69,65,65,Olahraga,Sepak Bola,Sedang,Tinggi,Tinggi,Sedang,Tinggi,Sedang,PJOK,Kinestetik,Pelatih Olahraga,Komunitas Olahraga,Kabupaten - Biologi,Olahraga - Nasional,Ilmu Keolahragaan
85,64,80,76,Bisnis,Membaca,Sedang,Sedang,Sedang,Tinggi,Rendah,Sedang,Ekonomi,Membaca/Menulis,Akuntan,Tidak Aktif,Tidak Ada,Tidak Ada,Akuntansi
67,72,84,79,Olahraga,Taekwondo,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Biologi,Kinestetik,Pelatih Olahraga,Paskibra,Kecamatan - Biologi,Olahraga - Provinsi,Ilmu Keolahragaan
63,64,74,82,Olahraga,Atletik,Sedang,Sedang,Tinggi,Sedang,Sedang,Tinggi,PJOK,Kinestetik,Guru,OSIS,Kecamatan - Matematika,Olahraga - Kabupaten,Ilmu Keolahragaan
78,75,63,79,Psikologi,Membaca,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Bahasa Indonesia,Membaca/Menulis,Psikolog,PMR,Kecamatan - Biologi,Kepemimpinan - Kecamatan,Psikologi
70,79,82,69,Bisnis,Coding,Tinggi,Sedang,Sedang,Tinggi,Sedang,Tinggi,Matematika,Visual,Business Analyst,Tidak Aktif,Kabupaten - Matematika,Seni - Kecamatan,Sistem Informasi
70,86,81,93,Bisnis,Investasi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Ekonomi,Auditori,Entrepreneur,Karang Taruna,Provinsi - Debat,Kepemimpinan - Provinsi,Manajemen Bisnis
81,71,84,92,Teknologi,Volunteering,Sedang,Rendah,Sedang,Tinggi,Tinggi,Sedang,Fisika,Visual,Konsultan Lingkungan,Karang Taruna,Kecamatan - Biologi,Organisasi - Kabupaten,Psikologi
67,68,73,86,Teknologi,Game Development,Rendah,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Bahasa Inggris,Visual,Konsultan Lingkungan,Karang Taruna,Kabupaten - Fisika,Seni - Kabupaten,Teknik Informatika
62,91,71,83,Sosial,Membaca,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Sosiologi,Auditori,Manajer,Tidak Aktif,Tidak Ada,Tidak Ada,Hukum
60,68,69,73,Teknik,Musik,Sedang,Rendah,Sedang,Sedang,Sedang,Tinggi,Ekonomi,Auditori,Business Analyst,Karang Taruna,Tidak Ada,Pramuka - Internasional,Teknik Mesin
88,74,74,79,Bisnis,Public Speaking,Sedang,Tinggi,Sedang,Sedang,Sedang,Sedang,Ekonomi,Auditori,Entrepreneur,BEM,Kecamatan - Debat,Kepemimpinan - Kabupaten,Manajemen Bisnis
94,78,99,72,Kesehatan,Volunteering,Tinggi,Sedang,Rendah,Sedang,Tinggi,Tinggi,Matematika,Visual,Dokter,OSIS,Nasional - Biologi,Kepemimpinan - Kabupaten,Kedokteran
55,66,73,70,Seni,Video Editing,Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Bahasa Inggris,Auditori,Entrepreneur,BEM,Kabupaten - Sains,Organisasi - Provinsi,Desain Komunikasi Visual
64,70,78,84,Sosial,Volunteering,Sedang,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Sosiologi,Membaca/Menulis,Psikolog,BEM,Tidak Ada,Organisasi - Nasional,Psikologi
85,89,71,86,Teknologi,Berjualan,Sedang,Tinggi,Tinggi,Sedang,Sedang,Sedang,Ekonomi,Visual,UI UX Designer,OSIS,Tidak Ada,Tidak Ada,Sistem Informasi
79,85,52,80,Bisnis,Berjualan,Rendah,Sedang,Sedang,Sedang,Sedang,Rendah,Bahasa Indonesia,Visual,Software Engineer,Tidak Aktif,Kecamatan - Debat,Organisasi - Kabupaten,Administrasi Bisnis
86,67,95,75,Teknik,Robotika,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Fisika,Kinestetik,Insinyur Mesin,OSIS,Tidak Ada,Tidak Ada,Teknik Mesin
