Nama_Kampus,Jenis_Kampus,Provinsi,Kota_Kabupaten,Jurusan,Akreditasi,Keunggulan,Website
Universitas Indonesia,PTN,Jawa Barat,Depok,Kedokteran,Unggul,Pendidikan Dokter Umum dan Spesialis, Rumah Sakit Pendidikan, Penelitian Biomedis,https://www.ui.ac.id
Universitas Indonesia,PTN,Jawa Barat,Depok,Farmasi,Unggul,Farmasi Klinis, Farmasi Industri, Bioteknologi Farmasi,https://www.ui.ac.id
Universitas Indonesia,PTN,Jawa Barat,Depok,Hukum,Unggul,Hukum Internasional, Hukum Bisnis, Hukum Tata Negara,https://www.ui.ac.id
Universitas Indonesia,PTN,Jawa Barat,Depok,Akuntansi,Unggul,Akuntansi Keuangan, Audit, Perpajakan, Akuntansi Manajemen,https://www.ui.ac.id
Universitas Indonesia,PTN,Jawa Barat,Depok,Manajemen,Unggul,Manajemen Strategik, Keuangan Korporat, Pemasaran Internasional,https://www.ui.ac.id
Universitas Indonesia,PTN,Jawa Barat,Depok,Psikologi,Unggul,Psikologi Klinis, Psikologi Industri dan Organisasi, Psikologi Perkembangan,https://www.ui.ac.id
Universitas Indonesia,PTN,Jawa Barat,Depok,Ilmu Komunikasi,Unggul,Jurnalisme, Hubungan Masyarakat, Media Digital,https://www.ui.ac.id
Universitas Indonesia,PTN,Jawa Barat,Depok,Teknik Informatika,Unggul,AI dan Machine Learning, Cyber Security, Software Engineering,https://www.ui.ac.id
Universitas Indonesia,PTN,Jawa Barat,Depok,Teknik Sipil,Unggul,Struktur Bangunan, Manajemen Konstruksi, Geoteknik,https://www.ui.ac.id
Universitas Indonesia,PTN,Jawa Barat,Depok,Arsitektur,Unggul,Perancangan Bangunan, Urban Design, Arsitektur Berkelanjutan,https://www.ui.ac.id
Universitas Gadjah Mada,PTN,DI Yogyakarta,Sleman,Hukum,Unggul,Hukum Perdata, Hukum Pidana, Hukum Internasional, Hukum Agraria,https://www.ugm.ac.id
Universitas Gadjah Mada,PTN,DI Yogyakarta,Sleman,Kedokteran,Unggul,Pendidikan Dokter, Penelitian Kesehatan, Rumah Sakit Pendidikan,https://www.ugm.ac.id
Universitas Gadjah Mada,PTN,DI Yogyakarta,Sleman,Farmasi,Unggul,Farmasi Klinis, Farmasi Industri, Kimia Farmasi,https://www.ugm.ac.id
Universitas Gadjah Mada,PTN,DI Yogyakarta,Sleman,Manajemen,Unggul,Manajemen Strategik, Keuangan Internasional, Manajemen Operasi,https://www.ugm.ac.id
Universitas Gadjah Mada,PTN,DI Yogyakarta,Sleman,Akuntansi,Unggul,Akuntansi Publik, Audit dan Assurance, Perpajakan,https://www.ugm.ac.id
Universitas Gadjah Mada,PTN,DI Yogyakarta,Sleman,Teknik Sipil,Unggul,Teknik Struktur, Manajemen Konstruksi, Teknik Sumber Daya Air,https://www.ugm.ac.id
Universitas Gadjah Mada,PTN,DI Yogyakarta,Sleman,Arsitektur,Unggul,Perancangan Bangunan, Arsitektur Kota, Desain Interior,https://www.ugm.ac.id
Universitas Gadjah Mada,PTN,DI Yogyakarta,Sleman,Psikologi,Unggul,Psikologi Klinis, Psikologi Pendidikan, Psikologi Sosial,https://www.ugm.ac.id
Universitas Gadjah Mada,PTN,DI Yogyakarta,Sleman,Teknik Industri,Unggul,Sistem Produksi, Ergonomi, Manajemen Rantai Pasok,https://www.ugm.ac.id
Universitas Gadjah Mada,PTN,DI Yogyakarta,Sleman,Teknik Mesin,Unggul,Manufaktur, Konversi Energi, Mekatronika,https://www.ugm.ac.id
Institut Teknologi Bandung,PTN,Jawa Barat,Bandung,Arsitektur,Unggul,Perancangan Bangunan, Urban Design, Arsitektur Tropis,https://www.itb.ac.id
Institut Teknologi Bandung,PTN,Jawa Barat,Bandung,Teknik Informatika,Unggul,AI dan Data Science, Software Engineering, Cyber Security,https://www.itb.ac.id
